Acid_Halide,Alcohol,Ester,Halide_energy,Alcohol_energy,Ester_energy,Energy_difference,HX_energy
Cc1nc(C(=O)Cl)no1,OCC[C@H]1CCO1,Cc1nc(C(=O)OCC[C@H]2CCO2)no1,-777.858893023179,-650.487806478177,-1291.55831762137,-0.705734499589283,-137.494116379578
Cc1nc(C(=O)Cl)no1,C=NCCO,C=NCCOC(=O)c1noc(C)n1,-777.858728393753,-460.752856380957,-1101.77108956943,-0.653621174302174,-137.494116379578
Cc1nc(C(=O)Cl)no1,C/C=C(\F)CO,C/C=C(\F)COC(=O)c1noc(C)n1,-777.857571179785,-568.584431221252,-1209.65278395184,-0.704897930379701,-137.494116379578
Cc1nc(C(=O)Cl)no1,CC=CC(=O)CO,CC=CC(=O)COC(=O)c1noc(C)n1,-777.859792271153,-622.369525629194,-1263.04289370415,-0.307692183376247,-137.494116379578
Cc1nc(C(=O)Cl)no1,OCC=C1CC1,Cc1nc(C(=O)OCC=C2CC2)no1,-777.857964646328,-510.875993784252,-1151.96540444856,-0.725562397558491,-137.494116379578
Cc1nc(C(=O)Cl)no1,OCc1nc[nH]n1,Cc1nc(C(=O)OCc2nc[nH]n2)no1,-777.857586780189,-592.943242614025,-1233.90586531137,-0.599152296736833,-137.494116379578
Cc1nc(C(=O)Cl)no1,C/C(C=O)=C/CO,C/C(C=O)=C/COC(=O)c1noc(C)n1,-777.85923361158,-621.991522556036,-1262.99887990924,-0.64224012120323,-137.494116379578
Cc1nc(C(=O)Cl)no1,C/C(Cl)=C\CO,C/C(Cl)=C\COC(=O)c1noc(C)n1,-777.85844734256,-563.804172879026,-1204.89070338612,-0.722199544106587,-137.494116379578
Cc1nc(C(=O)Cl)no1,CC1CCC1CO,Cc1nc(C(=O)OCC2CCC2C)no1,-777.858630285231,-626.337308696264,-1267.36642705037,-0.664604448449722,-137.494116379578
Cc1nc(C(=O)Cl)no1,OCN(F)F,Cc1nc(C(=O)OCN(F)F)no1,-777.85857529034,-544.308309192917,-1185.10576647309,-0.432998369414662,-137.494116379578
Cc1nc(C(=O)Cl)no1,OC[C@@H]1CC=CO1,Cc1nc(C(=O)OC[C@@H]2CC=CO2)no1,-777.859465943648,-622.768760494193,-1263.8381994684,-0.704089410135879,-137.494116379578
Cc1nc(C(=O)Cl)no1,CC1(C)O[C@H]1CO,Cc1nc(C(=O)OC[C@@H]2OC2(C)C)no1,-777.859099667169,-650.712234884291,-1291.74470111105,-0.667482939162113,-137.494116379578
Cc1nc(C(=O)Cl)no1,O=CC1(CO)CC1,Cc1nc(C(=O)OCC2(C=O)CC2)no1,-777.85963740123,-622.150169710743,-1263.16290083799,-0.647210105594553,-137.494116379578
Cc1nc(C(=O)Cl)no1,C=C(CO)B(O)O,C=C(COC(=O)c1noc(C)n1)B(O)O,-777.858668127824,-638.463930796075,-1279.71346185049,-0.884979306171317,-137.494116379578
Cc1nc(C(=O)Cl)no1,C=C(/C=C/C)CO,C=C(/C=C/C)COC(=O)c1noc(C)n1,-777.859815905532,-597.025316994838,-1238.32260059849,-0.931584077697806,-137.494116379578
Cc1nc(C(=O)Cl)no1,C=C=CCCCO,C=C=CCCCOC(=O)c1noc(C)n1,-777.859859557514,-596.721250963798,-1237.79955972404,-0.712565582308656,-137.494116379578
Cc1nc(C(=O)Cl)no1,O=[N+]([O-])OCO,Cc1nc(C(=O)OCO[N+](=O)[O-])no1,-777.858402798261,-618.624113795998,-1259.40671468622,-0.418314471536604,-137.494116379578
Cc1nc(C(=O)Cl)no1,O=NCO,Cc1nc(C(=O)OCN=O)no1,-777.858314511014,-397.19382576636,-1038.16042146606,-0.602397568263854,-137.494116379578
Cc1nc(C(=O)Cl)no1,CC1(C)CC1CO,Cc1nc(C(=O)OCC2CC2(C)C)no1,-777.85941628015,-626.055062334741,-1267.14836121008,-0.727998974770316,-137.494116379578
Cc1nc(C(=O)Cl)no1,CC1(C)O[C@@H]1CO,Cc1nc(C(=O)OC[C@H]2OC2(C)C)no1,-777.85926550168,-650.711992142449,-1291.69837260725,-0.621231342696319,-137.494116379578
Cc1nc(C(=O)Cl)no1,NOCCCO,Cc1nc(C(=O)OCCCON)no1,-777.85969259139,-598.357376201699,-1239.54080962975,-0.817857216235751,-137.494116379578
Cc1nc(C(=O)Cl)no1,C=CC(=C)CCO,C=CC(=C)CCOC(=O)c1noc(C)n1,-777.860123447647,-597.106679029439,-1238.14391853262,-0.671232435109999,-137.494116379578
Cc1nc(C(=O)Cl)no1,CC[C@@H](O)c1ccccc1,CC[C@@H](OC(=O)c1noc(C)n1)c1ccccc1,-777.858831964963,-801.035139735704,-1442.18572414953,-0.785868828440243,-137.494116379578
Cc1nc(C(=O)Cl)no1,OC1N=Cc2ccccc21,Cc1nc(C(=O)OC2N=Cc3ccccc32)no1,-777.85974336835,-752.553760838157,-1393.50506019098,-0.585672364050879,-137.494116379578
Cc1nc(C(=O)Cl)no1,O=C1c2ccccc2C1O,Cc1nc(C(=O)OC2C(=O)c3ccccc32)no1,-777.858482226757,-768.860902366103,-1409.84159046049,-0.616322247211969,-137.494116379578
Cc1nc(C(=O)Cl)no1,Cc1ccc(CO)cc1,Cc1ccc(COC(=O)c2noc(C)n2)cc1,-777.858667934487,-714.956528591005,-1356.10481010898,-0.78372996306274,-137.494116379578
Cc1nc(C(=O)Cl)no1,OCc1ccccc1,Cc1nc(C(=O)OCc2ccccc2)no1,-777.859399073893,-628.759991953382,-1269.78928658532,-0.664011937624395,-137.494116379578
Cc1nc(C(=O)Cl)no1,OC1(c2ccccc2)CC1,Cc1nc(C(=O)OC2(c3ccccc3)CC2)no1,-777.858953861554,-772.566407327376,-1413.66473431705,-0.733489507700682,-137.494116379578
Cc1nc(C(=O)Cl)no1,OC1Cc2ccccc21,Cc1nc(C(=O)OC2Cc3ccccc32)no1,-777.859860472062,-686.40879269388,-1327.47735703753,-0.702820251166457,-137.494116379578
Cc1nc(C(=O)Cl)no1,OC1COc2ccccc21,Cc1nc(C(=O)OC2COc3ccccc32)no1,-777.859840843745,-798.247346183308,-1439.24588730441,-0.632816656937592,-137.494116379578
Cc1nc(C(=O)Cl)no1,Cc1ccccc1[C@H](C)O,Cc1nc(C(=O)O[C@@H](C)c2ccccc2C)no1,-777.85784969093,-801.169199726458,-1442.26998890355,-0.737055865735982,-137.494116379578
Cc1nc(C(=O)Cl)no1,O=Cc1ccccc1CO,Cc1nc(C(=O)OCc2ccccc2C=O)no1,-777.859140945474,-797.18592163006,-1438.2643481226,-0.713401926643513,-137.494116379578
O=C(Cl)CCF,C#CC1(CO)CC1,C#CC1(COC(=O)CCF)CC1,-593.359074815703,-568.398587543934,-1024.88590874285,-0.622362762788924,-137.494116379578
O=C(Cl)CCF,CC(C)SCO,CC(C)SCOC(=O)CCF,-593.369442728933,-570.529844712525,-1027.00546363809,-0.600292576207579,-137.494116379578
O=C(Cl)CCF,CC=C(C=O)CO,CC=C(C=O)COC(=O)CCF,-593.369471929322,-622.06137802583,-1078.54644857285,-0.609714997270089,-137.494116379578
O=C(Cl)CCF,C=CC(=CC#N)CO,C=CC(=CC#N)COC(=O)CCF,-593.359038343503,-633.938936771323,-1090.57136827965,-0.767509544396802,-137.494116379578
O=C(Cl)CCF,C=CC(CC)CO,C=CC(CC)COC(=O)CCF,-593.369392789241,-625.60385006991,-1082.22492187201,-0.745795392440499,-137.494116379578
O=C(Cl)CCF,OC[C@H]1CO1,O=C(CCF)OC[C@H]1CO1,-593.360209277105,-478.200951570739,-934.729856191871,-0.662811723605074,-137.494116379578
O=C(Cl)CCF,CCOCCO,CCOCCOC(=O)CCF,-593.369344230554,-592.526204419117,-1049.18392706111,-0.78249479102189,-137.494116379578
O=C(Cl)CCF,C=CC=C=CCO,C=CC=C=CCOC(=O)CCF,-593.369465460547,-568.098352649596,-1024.73087436934,-0.75717263877354,-137.494116379578
O=C(Cl)CCF,OCn1cncn1,O=C(CCF)OCn1cncn1,-593.369426558968,-593.129765005513,-1049.54263483889,-0.537559653991565,-137.494116379578
O=C(Cl)CCF,CCCCCO,CCCCCOC(=O)CCF,-593.358991129141,-568.280747658615,-1024.9230380362,-0.777415628021771,-137.494116379578
O=C(Cl)CCF,CC=C[C@@H](C)CO,CC=C[C@@H](C)COC(=O)CCF,-593.360310000397,-625.824769277872,-1082.34293568889,-0.651972790201484,-137.494116379578
O=C(Cl)CCF,CCC#CCCO,CCC#CCCOC(=O)CCF,-593.360301131794,-596.989430422269,-1053.66415793894,-0.808542764453676,-137.494116379578
O=C(Cl)CCF,CS[C@@H](C)CO,CS[C@@H](C)COC(=O)CCF,-593.369066565465,-570.20718497464,-1026.96376085756,-0.881625697030671,-137.494116379578
O=C(Cl)CCF,CC=C1CC1CO,CC=C1CC1COC(=O)CCF,-593.36030989128,-597.028434505663,-1053.7114841511,-0.816856133737787,-137.494116379578
O=C(Cl)CCF,C=C1CC1CO,C=C1CC1COC(=O)CCF,-593.369254940756,-510.839558701554,-967.424822333632,-0.710125070900034,-137.494116379578
O=C(Cl)CCF,N#CCC=CCO,N#CCC=CCOC(=O)CCF,-593.360241593716,-576.34164907265,-1032.93602922645,-0.728254939666016,-137.494116379578
O=C(Cl)CCF,OCCC[C@H]1CO1,O=C(CCF)OCCC[C@H]1CO1,-593.360306147535,-650.422835904716,-1107.03849134664,-0.749465673964977,-137.494116379578
O=C(Cl)CCF,C=C1C[C@H]1CO,C=C1C[C@H]1COC(=O)CCF,-593.34380738766,-510.839605374546,-967.459133043472,-0.769836660844732,-137.494116379578
O=C(Cl)CCF,CN(Cl)CCO,CN(Cl)CCOC(=O)CCF,-593.360243192984,-598.803609008952,-1055.4116313055,-0.741895483144475,-137.494116379578
O=C(Cl)CCF,C=CC(F)CO,C=CC(F)COC(=O)CCF,-593.358554780154,-568.239316477453,-1024.83519044278,-0.731435564745738,-137.494116379578
O=C(Cl)CCF,NN1CC(CO)C1,NN1CC(COC(=O)CCF)C1,-593.360249717625,-639.821888182432,-1096.29356257331,-0.605541052832081,-137.494116379578
O=C(Cl)CCF,CCC=C(C)CO,CCC=C(C)COC(=O)CCF,-593.360318011379,-625.89438148889,-1082.4920776785,-0.731494557807082,-137.494116379578
O=C(Cl)CCF,CCC(C)CO,CCC(C)COC(=O)CCF,-593.360318203165,-568.382875615674,-1025.01514036248,-0.76606292321398,-137.494116379578
O=C(Cl)CCF,OCn1ccnn1,O=C(CCF)OCn1ccnn1,-593.358867781965,-592.416317453897,-1048.77022112618,-0.48915226989638,-137.494116379578
O=C(Cl)CCF,CC(F)CCCO,CC(F)CCCOC(=O)CCF,-593.369450382085,-683.331302591872,-1139.90343458057,-0.696797986193218,-137.494116379578
O=C(Cl)CCF,C#C[C@@H](CC)CO,C#C[C@@H](CC)COC(=O)CCF,-593.398558563843,-596.829244417178,-1053.4575993321,-0.723912730657588,-137.494116379578
O=C(Cl)CCF,C[C@H]1CC1=CCO,C[C@H]1CC1=CCOC(=O)CCF,-593.360332230668,-597.065161646701,-1053.60853346953,-0.677155971739893,-137.494116379578
O=C(Cl)CCF,C=CC(=O)CO,C=CC(=O)COC(=O)CCF,-593.360329933482,-535.8639240603,-992.427199144892,-0.697061530687705,-137.494116379578
O=C(Cl)CCF,CC#CC(C)CO,CC#CC(C)COC(=O)CCF,-593.369411521323,-597.151445735481,-1053.74071360201,-0.713972724785748,-137.494116379578
O=C(Cl)CCF,OCC=CB(O)O,O=C(CCF)OCC=CB(O)O,-593.369372616396,-638.480895670018,-1094.89517892578,-0.539027018940885,-137.494116379578
O=C(Cl)CCF,C=C(CCO)OC,C=C(CCOC(=O)CCF)OC,-593.360291735807,-650.140254425834,-1106.93933348945,-0.932903707390437,-137.494116379578
O=C(Cl)CCF,C[C@H]1C[C@@H](CO)C1,C[C@H]1C[C@@H](COC(=O)CCF)C1,-593.36946219654,-626.340857690706,-1082.94895582649,-0.732752318819593,-137.494116379578
O=C(Cl)CCF,C=C(CO)CCC,C=C(CCC)COC(=O)CCF,-593.36030134739,-625.69515213792,-1082.41849910147,-0.857161995738892,-137.494116379578
O=C(Cl)CCF,CC=C=NCCO,CC=C=NCCOC(=O)CCF,-593.369458896069,-604.601152905711,-1061.14821557952,-0.671720157313843,-137.494116379578
O=C(Cl)CCF,C[C@H](C=O)CO,C[C@H](C=O)COC(=O)CCF,-593.359007978439,-564.425025967004,-1021.01248094055,-0.722563374688519,-137.494116379578
O=C(Cl)CCF,N#CC(Cl)CO,N#CC(Cl)COC(=O)CCF,-593.360219632294,-542.690864381922,-999.233549078451,-0.676581443812523,-137.494116379578
O=C(Cl)CCF,OCc1cnoc1,O=C(CCF)OCc1cnoc1,-593.360292860318,-601.596523999216,-1058.08014011132,-0.617439631365158,-137.494116379578
O=C(Cl)CCF,C#CC[C@@H](C)CO,C#CC[C@@H](C)COC(=O)CCF,-593.360299912479,-596.906085319087,-1053.48593788926,-0.713669037273519,-137.494116379578
O=C(Cl)CCF,OCC[C@H]1CCO1,O=C(CCF)OCC[C@H]1CCO1,-593.360267883791,-650.499189382604,-1107.05148798414,-0.68614709732546,-137.494116379578
O=C(Cl)CCF,C=NCCO,C=NCCOC(=O)CCF,-593.360305006807,-460.731020731465,-917.259798456701,-0.662589098006862,-137.494116379578
O=C(Cl)CCF,C/C=C(\F)CO,C/C=C(\F)COC(=O)CCF,-593.358998410313,-568.666273323082,-1025.09769421151,-0.566538857691029,-137.494116379578
O=C(Cl)CCF,CC=CC(=O)CO,CC=CC(=O)COC(=O)CCF,-593.398561560471,-622.369529434137,-1078.75833409477,-0.484359479740959,-137.494116379578
O=C(Cl)CCF,OCC=C1CC1,O=C(CCF)OCC=C1CC1,-593.360321622522,-510.87658366066,-967.35760576142,-0.614816857815356,-137.494116379578
O=C(Cl)CCF,OCc1nc[nH]n1,O=C(CCF)OCc1nc[nH]n1,-593.358989993909,-592.953036662851,-1049.39013615239,-0.572225875208204,-137.494116379578
O=C(Cl)CCF,C/C(C=O)=C/CO,C/C(C=O)=C/COC(=O)CCF,-593.358962601527,-622.0688895378,-1078.50172443166,-0.567988671914208,-137.494116379578
O=C(Cl)CCF,C/C(Cl)=C\CO,C/C(Cl)=C\COC(=O)CCF,-593.36902170663,-563.802990379247,-1020.37853160704,-0.700635900738519,-137.494116379578
O=C(Cl)CCF,CC1CCC1CO,CC1CCC1COC(=O)CCF,-593.360269585429,-626.337262656591,-1082.92810896195,-0.724693099511967,-137.494116379578
O=C(Cl)CCF,OCN(F)F,O=C(CCF)OCN(F)F,-593.36948188181,-544.308295208081,-1000.66925709271,-0.485596382399507,-137.494116379578
O=C(Cl)CCF,OC[C@@H]1CC=CO1,O=C(CCF)OC[C@@H]1CC=CO1,-593.359077915544,-622.780224621135,-1079.36263357239,-0.71744741529136,-137.494116379578
O=C(Cl)CCF,CC1(C)O[C@H]1CO,CC1(C)O[C@H]1COC(=O)CCF,-593.359070036021,-650.675832396414,-1107.21413045795,-0.673344405094184,-137.494116379578
O=C(Cl)CCF,O=CC1(CO)CC1,O=CC1(COC(=O)CCF)CC1,-593.359051955353,-622.170923340806,-1078.62405451714,-0.588195600561534,-137.494116379578
O=C(Cl)CCF,C=C(CO)B(O)O,C=C(COC(=O)CCF)B(O)O,-593.358829691856,-638.550831437223,-1094.95645741107,-0.540912661569877,-137.494116379578
O=C(Cl)CCF,C=C(/C=C/C)CO,C=C(/C=C/C)COC(=O)CCF,-593.343826435802,-597.269254469462,-1053.86108761754,-0.742123091857451,-137.494116379578
O=C(Cl)CCF,C=C=CCCCO,C=C=CCCCOC(=O)CCF,-593.360306492549,-596.737127103245,-1053.2812593078,-0.677942091587028,-137.494116379578
O=C(Cl)CCF,O=[N+]([O-])OCO,O=C(CCF)OCO[N+](=O)[O-],-593.34384591598,-618.643569454654,-1074.95444281232,-0.461143821264244,-137.494116379578
O=C(Cl)CCF,O=NCO,O=NCOC(=O)CCF,-593.36914038278,-397.323382876605,-853.739683939725,-0.541277059917462,-137.494116379578
O=C(Cl)CCF,CC1(C)CC1CO,CC1(C)CC1COC(=O)CCF,-593.369415367763,-625.98192363983,-1082.6509643238,-0.793741695787958,-137.494116379578
O=C(Cl)CCF,CC1(C)O[C@@H]1CO,CC1(C)O[C@@H]1COC(=O)CCF,-593.360259742658,-650.711948090269,-1107.23291694452,-0.654825491174705,-137.494116379578
O=C(Cl)CCF,NOCCCO,NOCCCOC(=O)CCF,-593.369336232851,-598.434077958501,-1054.99453005746,-0.685232245682954,-137.494116379578
O=C(Cl)CCF,C=CC(=C)CCO,C=CC(=C)CCOC(=O)CCF,-593.358826279819,-597.10573308265,-1053.71306713979,-0.742624156898728,-137.494116379578
O=C(Cl)CCF,CC[C@@H](O)c1ccccc1,CC[C@@H](OC(=O)CCF)c1ccccc1,-593.369379154724,-801.054133251933,-1257.72775546375,-0.798359436674076,-137.494116379578
O=C(Cl)CCF,OC1N=Cc2ccccc21,O=C(CCF)OC1N=Cc2ccccc21,-593.360301728268,-752.553694620034,-1209.00853376334,-0.588653794615283,-137.494116379578
O=C(Cl)CCF,O=C1c2ccccc2C1O,O=C(CCF)OC1C(=O)c2ccccc21,-593.359052324394,-768.771870679481,-1225.35920289746,-0.722396273160683,-137.494116379578
O=C(Cl)CCF,Cc1ccc(CO)cc1,Cc1ccc(COC(=O)CCF)cc1,-593.36020826446,-715.042075591477,-1171.61226694375,-0.704099467387437,-137.494116379578
O=C(Cl)CCF,OCc1ccccc1,O=C(CCF)OCc1ccccc1,-593.359039855831,-628.740072726448,-1085.34029342339,-0.735297220692218,-137.494116379578
O=C(Cl)CCF,OC1(c2ccccc2)CC1,O=C(CCF)OC1(c2ccccc2)CC1,-593.360304498225,-772.568811928309,-1229.14749141956,-0.712491372605967,-137.494116379578
O=C(Cl)CCF,OC1Cc2ccccc21,O=C(CCF)OC1Cc2ccccc21,-593.360319083835,-686.408769525034,-1142.9990010914,-0.724028862105769,-137.494116379578
O=C(Cl)CCF,OC1COc2ccccc21,O=C(CCF)OC1COc2ccccc21,-593.369246590231,-798.247388439046,-1254.76387130133,-0.641352651629518,-137.494116379578
O=C(Cl)CCF,Cc1ccccc1[C@H](C)O,Cc1ccccc1[C@H](C)OC(=O)CCF,-593.369422399107,-801.140348410919,-1257.86072153039,-0.845067099941957,-137.494116379578
O=C(Cl)CCF,O=Cc1ccccc1CO,O=Cc1ccccc1COC(=O)CCF,-593.343824144494,-797.121732294966,-1253.71869788537,-0.747257825487026,-137.494116379578
CCOC(=O)C(=O)Cl,C#CC1(CO)CC1,C#CC1(COC(=O)C(=O)OCC)CC1,-757.827446845398,-568.398612261599,-1189.45500504605,-0.72306231862828,-137.494116379578
CCOC(=O)C(=O)Cl,CC(C)SCO,CCOC(=O)C(=O)OCSC(C)C,-757.847366962281,-570.390446179007,-1191.51503250337,-0.771335741659158,-137.494116379578
CCOC(=O)C(=O)Cl,CC=C(C=O)CO,CC=C(C=O)COC(=O)C(=O)OCC,-757.847726224749,-622.116098134351,-1243.16013815282,-0.690430173296789,-137.494116379578
CCOC(=O)C(=O)Cl,C=CC(=CC#N)CO,C=CC(=CC#N)COC(=O)C(=O)OCC,-757.84716262258,-634.0370899971,-1255.1226898335,-0.732553593401207,-137.494116379578
CCOC(=O)C(=O)Cl,C=CC(CC)CO,C=CC(CC)COC(=O)C(=O)OCC,-757.827327978715,-625.636748835767,-1246.74012472614,-0.77016429123168,-137.494116379578
CCOC(=O)C(=O)Cl,OC[C@H]1CO1,CCOC(=O)C(=O)OC[C@H]1CO1,-757.846787379129,-478.043715923053,-1099.2011976931,-0.804810770496743,-137.494116379578
CCOC(=O)C(=O)Cl,CCOCCO,CCOCCOC(=O)C(=O)OCC,-757.827430671976,-592.65250636758,-1213.63152338653,-0.645702726555072,-137.494116379578
CCOC(=O)C(=O)Cl,C=CC=C=CCO,C=CC=C=CCOC(=O)C(=O)OCC,-757.827382273129,-568.072520500111,-1189.25594099148,-0.850154597821159,-137.494116379578
CCOC(=O)C(=O)Cl,OCn1cncn1,CCOC(=O)C(=O)OCn1cncn1,-757.847115333114,-593.129247679103,-1213.97081524905,-0.488568616408969,-137.494116379578
CCOC(=O)C(=O)Cl,CCCCCO,CCCCCOC(=O)C(=O)OCC,-757.827434828001,-568.37011312706,-1189.42861462358,-0.725183048097932,-137.494116379578
